FUNCTION,AGENCY
VF 24 GEOLOGICAL SURVEY,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 30 FORESTS,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 110 VETERINARY SERVICES,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 111 ANIMAL PROTECTION,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 122 RURAL WATER SUPPLY,VA 4554 Department of Sustainability and Environment 2002 -2013 Other
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 149 GROUNDWATER RESOURCES,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 152 PETROLEUM INDUSTRY,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 173 NATIONAL PARKS,VA 4554 Department of Sustainability and Environment 2002 -2013 Other
VF 178 SOIL CONSERVATION,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 178 SOIL CONSERVATION,VA 4563 Department of Primary Industries 2002 -2013 Other
VF 215 PLACE NAMES COMMITTEE,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 216 LANDATA,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 229 RESEARCH INSTITUTES,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 229 RESEARCH INSTITUTES,VA 4563 Department of Primary Industries 2002 -2013 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 244 BUILDING REGULATION,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 245 AGRICULTURE,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 246 FISH MARKETING,VA 4563 Department of Primary Industries 2002 -2013 Prime
VF 284 CONSERVATION (FLORA),VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 309 CROWN LANDS (PUBLIC),VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 327 HERITAGE PROTECTION,VA 4554 Department of Sustainability and Environment 2002 -2013 Research reqd
VF 328 ENVIRONMENT PROTECTION,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 342 PLANNING (POST 1988),VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 4554 Department of Sustainability and Environment 2002 -2013 Prime
VF 94 LIQUOR LICENSING,VA 3085 Department of Justice 2002 -ct Other
VF 195 FILM LIBRARY AND THEATRE,VA 4411 Australian Centre for the Moving Image [ACMI] 2002 -ct Prime
VF 435 FILM PRODUCTION AND PROMOTION,VA 4411 Australian Centre for the Moving Image [ACMI] 2002 -ct Prime
VF 170 REGIONAL DEVELOPMENT,"VA 4564 Department of Innovation, Industry and Regional Development 2003 -2010 Other"
VF 177 URBAN LAND DEVELOPMENT,VA 5004 Victorian Urban Development Authority (trading as VicUrban) 2003 -2011 Prime
VF 277 MAJOR DEVELOPMENT PROJECTS CO-ORDINATION,VA 5004 Victorian Urban Development Authority (trading as VicUrban) 2003 -2011 Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 4819 Corrections Victoria 2003 -ct Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 4839 Linking Melbourne Authority (known as Southern and Eastern Integrated Transport Authority [SEITA] 2003-2010) 2003 -ct Prime
VF 170 REGIONAL DEVELOPMENT,VA 4790 Regional Development Victoria 2003 -ct Prime
VF 170 REGIONAL DEVELOPMENT,VA 4832 Joint Committee on Rural and Regional (previously known as the Rural and Regional Services Development Committee (2003-2007)) 2003 -ct Prime
VF 321 RURAL AFFAIRS,VA 4790 Regional Development Victoria 2003 -ct Prime
VF 327 HERITAGE PROTECTION,VA 4719 The Centre For Cultural Materials Conservation 2003 -ct Prime
VF 400 PARLIAMENT,VA 4832 Joint Committee on Rural and Regional (previously known as the Rural and Regional Services Development Committee (2003-2007)) 2003 -ct Prime
VF 400 PARLIAMENT,VA 4775 Joint Committee on Education & Training 2003 -ct Other
VF 400 PARLIAMENT,VA 4776 Joint Committee on Outer Suburban / Interface Services Development 2003 -ct Other
VF 459 PORT OF MELBOURNE - MANAGEMENT AND DEVELOPMENT,VA 4028 Port of Melbourne Corporation 2003 -ct Prime
"VF 301 POLICE, INVESTIGATION OF COMPLAINTS CONCERNING",VA 4792 Office of Police Integrity 2004 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4952 Grampians Wimmera Mallee Water Corporation (trading as GWMWater) 2004 -ct Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4827 Energy Safe Victoria 2005 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4827 Energy Safe Victoria 2005 -ct Prime
VF 148 GAS AND FUEL,VA 4827 Energy Safe Victoria 2005 -ct Prime
VF 400 PARLIAMENT,VA 4947 Joint Committee on Electoral Matters 2005 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4944 Wannon Region Water Authority 2005 -ct Prime
VF 19 EDUCATION,VA 4830 Department of Education [II] 2006 -2007 Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 4830 Department of Education [II] 2006 -2007 Prime
VF 325 SCHOOL BUS SERVICES,VA 4830 Department of Education [II] 2006 -2007 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,"VA 4564 Department of Innovation, Industry and Regional Development 2006 -2010 Prime"
VF 189 TOURISM,"VA 4564 Department of Innovation, Industry and Regional Development 2006 -2010 Other"
VF 318 EDUCATION (TERTIARY) POST C.1987,"VA 4564 Department of Innovation, Industry and Regional Development 2006 -2010 Prime"
"VF 39 BIRTHS, DEATHS AND MARRIAGES",VA 3085 Department of Justice 2006 -ct Other
VF 206 PUBLIC RECORDS,VA 1039 Department of the Premier and Cabinet 2006 -ct Other
VF 244 BUILDING REGULATION,VA 5008 Office of the Victorian Government Architect 2006 -ct Prime
VF 231 ETHNIC AFFAIRS,VA 4838 Department of Planning and Community Development 2007 -2009 Prime
VF 203 YOUTH AFFAIRS,VA 4838 Department of Planning and Community Development 2007 -2010 Prime
VF 323 SENIOR CITIZENS' WEEK,VA 4838 Department of Planning and Community Development 2007 -2010 Other
VF 339 WOMEN'S AFFAIRS,VA 4838 Department of Planning and Community Development 2007 -2010 Prime
VF 175 ABORIGINAL AFFAIRS,VA 4838 Department of Planning and Community Development 2007 -2013 Other
VF 184 LOCAL GOVERNMENT,VA 4838 Department of Planning and Community Development 2007 -2013 Prime
VF 202 SPORT AND RECREATION,VA 4838 Department of Planning and Community Development 2007 -2013 Prime
VF 327 HERITAGE PROTECTION,VA 4838 Department of Planning and Community Development 2007 -2013 Other
VF 19 EDUCATION,VA 4840 Department of Education and Early Childhood Development 2007 -ct Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 4840 Department of Education and Early Childhood Development 2007 -ct Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 4840 Department of Education and Early Childhood Development 2007 -ct Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 4840 Department of Education and Early Childhood Development 2007 -ct Prime
VF 325 SCHOOL BUS SERVICES,VA 4840 Department of Education and Early Childhood Development 2007 -ct Prime
VF 11 PORTS AND HARBOURS,VA 4853 Department of Transport II 2008 -2013 Prime
VF 403 PUBLIC TRANSPORT,VA 4853 Department of Transport II 2008 -2013 Prime
"VF 491 TRANSPORT SERVICES, CO-ORDINATION OF",VA 4853 Department of Transport II 2008 -2013 Prime
VF 28 CEMETERIES,VA 4921 Department of Health III 2009 -ct Prime
VF 67 HOSPITALS AND CHARITIES,VA 4921 Department of Health III 2009 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4921 Department of Health III 2009 -ct Prime
"VF 128 HEALTH, MENTAL",VA 4921 Department of Health III 2009 -ct Prime
VF 164 AUDIT,VA 5006 Local Government Investigations and Compliance Inspectorate 2009 -ct Prime
VF 184 LOCAL GOVERNMENT,VA 5006 Local Government Investigations and Compliance Inspectorate 2009 -ct Prime
VF 224 INDUSTRIAL RELATIONS,VA 4932 Fair Work Australia 2009 -ct Prime
VF 231 ETHNIC AFFAIRS,VA 1039 Department of the Premier and Cabinet 2009 -ct Prime
VF 247 DOMICILIARY CARE SERVICES,VA 4921 Department of Health III 2009 -ct Prime
VF 322 OLDER PERSONS' SERVICES,VA 4921 Department of Health III 2009 -ct Prime
VF 317 EDUCATION (ADULT),VA 4838 Department of Planning and Community Development 2010 -2010 Other
VF 170 REGIONAL DEVELOPMENT,VA 4838 Department of Planning and Community Development 2010 -2013 Other
VF 220 ECONOMIC DEVELOPMENT,VA 4925 Department of Business and Innovation 2010 -2013 Prime
VF 224 INDUSTRIAL RELATIONS,VA 4925 Department of Business and Innovation 2010 -2013 Prime
VF 259 RETAIL TRADING HOURS,VA 4925 Department of Business and Innovation 2010 -2013 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 4925 Department of Business and Innovation 2010 -2013 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 4925 Department of Business and Innovation 2010 -2013 Prime
VF 321 RURAL AFFAIRS,VA 4925 Department of Business and Innovation 2010 -2013 Other
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 4840 Department of Education and Early Childhood Development 2010 -ct Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 3745 Department of Treasury and Finance 2010 -ct Prime
VF 203 YOUTH AFFAIRS,VA 3970 Department of Human Services 2010 -ct Prime
"VF 307 HEALTH CARE PROFESSIONALS, REGISTRATION OF",VA 4880 Australian Health Practitioner Regulation Agency 2010 -ct Prime
VF 317 EDUCATION (ADULT),VA 4840 Department of Education and Early Childhood Development 2010 -ct Other
VF 323 SENIOR CITIZENS' WEEK,VA 4921 Department of Health III 2010 -ct Prime
VF 339 WOMEN'S AFFAIRS,VA 3970 Department of Human Services 2010 -ct Prime
VF 379 CEMETERY TRUSTS,VA 5014 Southern Metropolitan Cemeteries Trust 2010 -ct Prime
VF 466 RAILWAY CONSTRUCTION,VA 5007 Regional Rail Link Authority 2010 -ct Prime
VF 177 URBAN LAND DEVELOPMENT,VA 5005 Urban Renewal Authority Victoria (trading as Places Victoria) 2011 -ct Prime
VF 277 MAJOR DEVELOPMENT PROJECTS CO-ORDINATION,VA 5005 Urban Renewal Authority Victoria (trading as Places Victoria) 2011 -ct Prime
VF 94 LIQUOR LICENSING,VA 4970 Victorian Commission for Gambling and Liquor Regulation 2012 -ct Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 4970 Victorian Commission for Gambling and Liquor Regulation 2012 -ct Prime
VF 403 PUBLIC TRANSPORT,VA 4968 Public Transport Victoria 2012 -ct Prime
VF 11 PORTS AND HARBOURS,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 24 GEOLOGICAL SURVEY,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 25 MINING SURVEYORS,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 30 FORESTS,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 46 DRAUGHTING BRANCH (LAND TITLES),"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Other"
VF 47 ELECTRIC LIGHT AND POWER,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 62 MINING,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 110 VETERINARY SERVICES,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 111 ANIMAL PROTECTION,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 145 STATE ELECTRICITY COMMISSION,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 148 GAS AND FUEL,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 151 MINING AND EXTRACTIVE INDUSTRIES,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 152 PETROLEUM INDUSTRY,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 175 ABORIGINAL AFFAIRS,VA 1039 Department of the Premier and Cabinet 2013 -ct Prime
VF 177 URBAN LAND DEVELOPMENT,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct other"
VF 178 SOIL CONSERVATION,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 184 LOCAL GOVERNMENT,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 202 SPORT AND RECREATION,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 220 ECONOMIC DEVELOPMENT,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 224 INDUSTRIAL RELATIONS,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 229 RESEARCH INSTITUTES,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 244 BUILDING REGULATION,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Other"
VF 245 AGRICULTURE,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 246 FISH MARKETING,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 259 RETAIL TRADING HOURS,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 267 EMPLOYMENT OF CHILDREN,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
VF 284 CONSERVATION (FLORA),VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Prime"
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)","VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Other"
VF 309 CROWN LANDS (PUBLIC),VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 321 RURAL AFFAIRS,"VA 5001 Department of State Development, Business and Innovation 2013 -ct Other"
VF 327 HERITAGE PROTECTION,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 328 ENVIRONMENT PROTECTION,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 342 PLANNING (POST 1988),"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 403 PUBLIC TRANSPORT,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 469 REGISTRATION SERVICES,"VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Other"
VF 473 RURAL WATER RESOURCES POLICY,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 488 TRANSPORT REGULATION,VA 5010 Taxi Services Commission 2013 -ct Prime
"VF 491 TRANSPORT SERVICES, CO-ORDINATION OF","VA 5003 Department of Transport, Planning and Local Infrastructure 2013 -ct Prime"
VF 493 WATER RESOURCE MANAGEMENT,VA 5002 Department of Environment and Primary Industries 2013 -ct Prime
VF 379 CEMETERY TRUSTS,VA 3010 Walhalla Cemetery Trust by 1873 -ct Prime
VF 110 VETERINARY SERVICES,VA 1148 Veterinary Practitioners Registration Board of Victoria (formerly known as the Veterinary Board of Victoria 1888-1997) by 1888 -ct Prime
VF 399 PARKS AND RESERVES,VA 4717 Elsternwick Park Committee of Management by 1920 -1978 Prime
VF 107 RAILWAYS,VA 4685 Bittern to Red Hill Railway Construction Trust by 1921 -by 1921 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 1635 Secondary Teachers Registration Board by 1973 -1987 Prime
VF 321 RURAL AFFAIRS,VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) by 1985 -1995 Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 4710 Office of the Public Advocate by 1987 -ct Prime
VF 364 LEGAL AID,VA 4710 Office of the Public Advocate by 1987 -ct Prime
VF 333 COMMUNITY COUNCIL AGAINST VIOLENCE,VA 4275 Victorian Community Council Against Violence by 1989 -ct Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 3748 Sinclair - Knight Mertz by 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 3750 Snowy Mountains Engineering Corporation Victoria [SMEC Victoria] Pty Ltd by 1995 -ct Prime
VF 418 WATER SUPPLY,VA 3750 Snowy Mountains Engineering Corporation Victoria [SMEC Victoria] Pty Ltd by 1995 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4240 North East Region Water Authority by 1998 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4364 Dairy Food Safe Victoria by 2001 -ct Prime
VF 245 AGRICULTURE,VA 4364 Dairy Food Safe Victoria by 2001 -ct Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2863 Hospitals for the Insane Branch c 1886 -1905 Prime
"VF 125 HEALTH, PUBLIC",VA 2981 Portland Hospital c 1900 -ct Prime
VF 252 WELFARE SERVICES,VA 4845 Victorian Council on the Ageing c 1951 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 1238 Mercy Hospital for Women (known as Mercy Maternity Hospital 1971 to 1991) c 1971 -ct Prime
VF 5 FINANCE,VA 1781 Registry of Permanent Building Societies c 1976  -ct Prime
"VF 501 BUILDING SOCIETIES, REGULATION OF",VA 1781 Registry of Permanent Building Societies c 1976 -ct Prime
"VF 22 LIBRARY, STATE",VA 856 Colonial Secretary's Office ND -1855 Prime
VF 44 PATENTS,VA 475 Chief Secretary's Department ND -1865 Prime
VF 41 CORPORATE AFFAIRS,VA 475 Chief Secretary's Department ND -1869 Prime
VF 42 COPYRIGHT AND TRADEMARKS,VA 2889 Registrar-General's Department ND -1873 Prime
VF 35 COASTAL MANAGEMENT (PORT PHILLIP AREA),VA 1102 Port Phillip Authority ND -1984 Prime
VF 3 CENSUS AND STATISTICS,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 5 FINANCE,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 6 GENERAL SUPERINTENDENCE,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 8 IMMIGRATION (NINETEENTH CENTURY),VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 10 POLICE,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 11 PORTS AND HARBOURS,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 12 POSTAL SERVICES,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 13 PRISONS AND YOUTH TRAINING CENTRES,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 15 ROADS AND BRIDGES,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
"VF 125 HEALTH, PUBLIC",VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 175 ABORIGINAL AFFAIRS,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 269 CUSTOMS,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 309 CROWN LANDS (PUBLIC),VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 373 ARMED FORCES COMMAND,VA 472 Police Magistrate Port Phillip District ND -1839 Prime
VF 17 SURVEY,"VA 943 Surveyor General's Department, Port Phillip Branch (also known as the Melbourne Survey Office) ND -1851 Prime"
VF 19 EDUCATION,"VA 473 Superintendent, Port Phillip District ND -1851 Prime"
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,"VA 473 Superintendent, Port Phillip District ND -1851 Prime"
"VF 22 LIBRARY, STATE","VA 473 Superintendent, Port Phillip District ND -1851 Prime"
VF 27 BOTANIC GARDENS,"VA 473 Superintendent, Port Phillip District ND -1851 Prime"
VF 36 CROWN SOLICITOR'S SERVICES,"VA 473 Superintendent, Port Phillip District ND -1851 Prime"
"VF 39 BIRTHS, DEATHS AND MARRIAGES",VA 856 Colonial Secretary's Office ND -1853 Prime
VF 23 GOLD OFFICE,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1854 Prime
VF 24 GEOLOGICAL SURVEY,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 26 HERBARIUM,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 57 CENSORSHIP,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 82 GALLERIES,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 83 MUSEUMS,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 99 IMMIGRATION (MONITORING ARRIVALS),VA 856 Colonial Secretary's Office ND -1855 Prime
"VF 128 HEALTH, MENTAL",VA 856 Colonial Secretary's Office ND -1855 Prime
VF 468 REGISTRAR-GENERAL'S DEPARTMENT,VA 856 Colonial Secretary's Office ND -1855 Prime
VF 95 SURVEY OF PROPOSED LINES OF RAILWAY,VA 2921 Surveyor-General's Department ND -1857 Prime
VF 37 CHINESE INTERPRETERS AND SCRIBES,VA 475 Chief Secretary's Department ND -1861 Prime
VF 97 WATER SUPPLY (GOLDFIELDS) - SURVEY,VA 538 Department of Crown Lands and Survey ND -1861 Prime
VF 180 ZOOS,VA 475 Chief Secretary's Department ND -1861 Prime
VF 25 MINING SURVEYORS,VA 2719 Department of Mines (also known as the Mining Department) ND -1862 Prime
VF 38 TITLES,VA 2889 Registrar-General's Department ND -1864 Prime
VF 103 MINERAL LEASES,VA 538 Department of Crown Lands and Survey ND -1865 Prime
VF 104 WATER RIGHT LICENSING,VA 538 Department of Crown Lands and Survey ND -1865 Prime
VF 105 WATER SUPPLY (GOLDFIELDS),VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1867 Prime
VF 122 RURAL WATER SUPPLY,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1867 Prime
VF 43 INQUESTS (REGISTRATION),VA 475 Chief Secretary's Department ND -1869 Prime
VF 43 INQUESTS (REGISTRATION),VA 2889 Registrar-General's Department ND -1869 Prime
"VF 429 COPYRIGHT, PATENTS AND TRADEMARKS CO-ORDINATION",VA 475 Chief Secretary's Department ND -1869 Prime
VF 86 OBSERVATORY,VA 538 Department of Crown Lands and Survey ND -1870 Prime
VF 449 INSOLVENCY PROCEEDINGS,VA 2549 Supreme Court of Victoria ND -1871 Prime
"VF 465 RAILWAY COMPANIES, PRIVATE, SUPERVISION OF",VA 2877 Department of Railways I ND -1871 Prime
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",VA 2877 Department of Railways I ND -1871 Prime
VF 245 AGRICULTURE,VA 475 Chief Secretary's Department ND -1872 Prime
VF 28 CEMETERIES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1873 Prime
VF 469 REGISTRATION SERVICES,VA 2889 Registrar-General's Department ND -1873 Prime
VF 30 FORESTS,VA 538 Department of Crown Lands and Survey ND -1875 Prime
VF 386 HARBOUR MANAGEMENT - PORT OF MELBOURNE,VA 606 Department of Trade and Customs ND -1877 Prime
VF 117 EDUCATION (SCHOOLS OF MINES),VA 2719 Department of Mines (also known as the Mining Department) ND -1880 Prime
VF 64 HEAD OF GOVERNMENT,VA 475 Chief Secretary's Department ND -1883 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 475 Chief Secretary's Department ND -1883 Prime
VF 29 LAND TAX,VA 475 Chief Secretary's Department ND -1884 Prime
VF 484 TRAMWAY CONSTRUCTION,VA 2976 Melbourne Tramway and Omnibus Company Limited ND -1884 Prime
VF 46 DRAUGHTING BRANCH (LAND TITLES),VA 538 Department of Crown Lands and Survey ND -1887 Prime
"VF 426 CHILDREN, NEGLECTED, MAINTENANCE AND EDUCATION OF",VA 1466 Department of Industrial and Reformatory Schools ND -1887 Prime
VF 353 HEALTH AND SAFETY (PUBLIC BUILDINGS),VA 475 Chief Secretary's Department ND -1890 Prime
VF 123 MELBOURNE WATER SUPPLY AND SEWERAGE,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1891 Prime
VF 437 FOSTER CARE AGENCIES (REGISTRATION OF),VA 2904 Department of Public Health ND -1891 Prime
VF 466 RAILWAY CONSTRUCTION,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1892 Prime"
VF 62 MINING,VA 2719 Department of Mines (also known as the Mining Department) ND -1895 Prime
"VF 300 CHARITIES, PUBLIC (INSPECTION OF)",VA 475 Chief Secretary's Department ND -1895 Prime
VF 66 SAVINGS BANKS,VA 475 Chief Secretary's Department ND -1896 Prime
VF 139 EMPLOYMENT SERVICE,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1896 Prime
VF 98 FISHERIES AND WILDLIFE,VA 606 Department of Trade and Customs ND -1900 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 606 Department of Trade and Customs ND -1900 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 2872 Postmaster General's Department ND -1901 Prime
VF 150 DANGEROUS GOODS,VA 606 Department of Trade and Customs ND -1901 Prime
VF 279 MERCANTILE MARINE,VA 606 Department of Trade and Customs ND -1901 Prime
VF 475 SETTLEMENT SCHEMES (CLOSER SETTLEMENT),VA 538 Department of Crown Lands and Survey ND -1905 Prime
VF 110 VETERINARY SERVICES,VA 2904 Department of Public Health ND -1906 Prime
VF 474 RURAL WATER SUPPLY (TRANSFERRED 1906-1910),VA 2787 Victorian Water Supply Department ND -1906 Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 724 Victoria Police (including Office of the Chief Commissioner of Police) ND -1907 Prime
"VF 452 LIQUOR LICENCES, REDUCTION/COMPENSATION",VA 2870 Licensing Courts ND -1907 Prime
VF 108 STATE COAL MINE,VA 612 Mines Department (also known as Department of Mines and Mining Department) ND -1911 Prime
VF 126 MEAT INSPECTION,VA 618 Department of Agriculture ND -1911 Prime
VF 34 SETTLEMENT SCHEMES (IRRIGABLE LAND),VA 2266 Closer Settlement Board (previously known as  Lands Purchase and Management Board 1905-1918) ND -1913 Prime
VF 135 FACTORY REGISTRATION,VA 475 Chief Secretary's Department ND -1916 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 475 Chief Secretary's Department ND -1916 Prime
VF 141 CONSUMER PROTECTION,VA 475 Chief Secretary's Department ND -1916 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 475 Chief Secretary's Department ND -1916 Prime
VF 259 RETAIL TRADING HOURS,VA 475 Chief Secretary's Department ND -1916 Prime
"VF 355 PRIVATE EMPLOYMENT AGENCIES, REGISTRATION OF",VA 475 Chief Secretary's Department ND -1916 Prime
